num,bottom_left,top_right,type
water_1,"44,50","116,130",WATER
eengezinswoning_1,"100, 178","108, 170",EENGEZINSWONING
eengezinswoning_2,"128, 178","136, 170",EENGEZINSWONING
bungalow_1,"145, 10","156, 3",BUNGALOW
maison_11,"142, 66","154, 56",MAISON
eengezinswoning_3,"139, 159","147, 151",EENGEZINSWONING
eengezinswoning_4,"150, 178","158, 170",EENGEZINSWONING
maison_12,"32, 96","44, 86",MAISON
bungalow_2,"73, 137","84, 130",BUNGALOW
eengezinswoning_5,"38, 10","46, 2",EENGEZINSWONING
bungalow_3,"116, 104","127, 97",BUNGALOW
eengezinswoning_6,"117, 159","125, 151",EENGEZINSWONING
eengezinswoning_7,"2, 10","10, 2",EENGEZINSWONING
eengezinswoning_8,"20, 28","28, 20",EENGEZINSWONING
eengezinswoning_9,"52, 32","60, 24",EENGEZINSWONING
eengezinswoning_10,"2, 46","10, 38",EENGEZINSWONING
bungalow_4,"106, 35","117, 28",BUNGALOW
maison_13,"6, 174","18, 164",MAISON
bungalow_5,"78, 10","89, 3",BUNGALOW
eengezinswoning_11,"70, 50","78, 42",EENGEZINSWONING
eengezinswoning_12,"150, 135","158, 127",EENGEZINSWONING
