num,bottom_left,top_right,type
water_1,"44,50","116,130",WATER
bungalow_1,"3, 137","14, 130",BUNGALOW
eengezinswoning_1,"42, 22","50, 14",EENGEZINSWONING
eengezinswoning_2,"99, 31","107, 23",EENGEZINSWONING
maison_11,"72, 16","84, 6",MAISON
bungalow_2,"117, 87","128, 80",BUNGALOW
maison_12,"45, 174","57, 164",MAISON
bungalow_3,"117, 107","128, 100",BUNGALOW
bungalow_4,"119, 28","130, 21",BUNGALOW
bungalow_5,"4, 117","15, 110",BUNGALOW
eengezinswoning_3,"150, 53","158, 45",EENGEZINSWONING
eengezinswoning_4,"86, 178","94, 170",EENGEZINSWONING
eengezinswoning_5,"33, 33","41, 25",EENGEZINSWONING
eengezinswoning_6,"79, 138","87, 130",EENGEZINSWONING
maison_13,"6, 16","18, 6",MAISON
eengezinswoning_7,"136, 41","144, 33",EENGEZINSWONING
eengezinswoning_8,"150, 151","158, 143",EENGEZINSWONING
maison_14,"52, 146","64, 136",MAISON
eengezinswoning_9,"23, 43","31, 35",EENGEZINSWONING
eengezinswoning_10,"122, 178","130, 170",EENGEZINSWONING
eengezinswoning_11,"17, 82","25, 74",EENGEZINSWONING
eengezinswoning_12,"116, 128","124, 120",EENGEZINSWONING
eengezinswoning_13,"112, 149","120, 141",EENGEZINSWONING
eengezinswoning_14,"140, 27","148, 19",EENGEZINSWONING
eengezinswoning_15,"35, 75","43, 67",EENGEZINSWONING
eengezinswoning_16,"73, 178","81, 170",EENGEZINSWONING
eengezinswoning_17,"95, 156","103, 148",EENGEZINSWONING
maison_15,"142, 125","154, 115",MAISON
eengezinswoning_18,"36, 45","44, 37",EENGEZINSWONING
eengezinswoning_19,"128, 145","136, 137",EENGEZINSWONING
eengezinswoning_20,"5, 48","13, 40",EENGEZINSWONING
bungalow_6,"111, 47","122, 40",BUNGALOW
bungalow_7,"128, 161","139, 154",BUNGALOW
eengezinswoning_21,"22, 56","30, 48",EENGEZINSWONING
bungalow_8,"146, 177","157, 170",BUNGALOW
maison_16,"30, 129","42, 119",MAISON
eengezinswoning_22,"42, 10","50, 2",EENGEZINSWONING
eengezinswoning_23,"130, 10","138, 2",EENGEZINSWONING
bungalow_9,"116, 67","127, 60",BUNGALOW
eengezinswoning_24,"97, 138","105, 130",EENGEZINSWONING
eengezinswoning_25,"2, 79","10, 71",EENGEZINSWONING
bungalow_10,"13, 177","24, 170",BUNGALOW
maison_17,"25, 156","37, 146",MAISON
bungalow_11,"146, 97","157, 90",BUNGALOW
eengezinswoning_26,"136, 55","144, 47",EENGEZINSWONING
bungalow_12,"106, 10","117, 3",BUNGALOW
eengezinswoning_27,"2, 64","10, 56",EENGEZINSWONING
eengezinswoning_28,"46, 34","54, 26",EENGEZINSWONING
eengezinswoning_29,"98, 175","106, 167",EENGEZINSWONING
bungalow_13,"73, 159","84, 152",BUNGALOW
bungalow_14,"3, 97","14, 90",BUNGALOW
maison_18,"32, 102","44, 92",MAISON
maison_19,"72, 50","84, 40",MAISON
eengezinswoning_30,"111, 165","119, 157",EENGEZINSWONING
bungalow_15,"146, 73","157, 66",BUNGALOW
eengezinswoning_31,"2, 158","10, 150",EENGEZINSWONING
eengezinswoning_32,"36, 59","44, 51",EENGEZINSWONING
eengezinswoning_33,"150, 39","158, 31",EENGEZINSWONING
eengezinswoning_34,"110, 178","118, 170",EENGEZINSWONING
eengezinswoning_35,"19, 69","27, 61",EENGEZINSWONING
eengezinswoning_36,"150, 10","158, 2",EENGEZINSWONING
